Date,Casos de dengue
2022-09-09,1054.6513545347468
2019-11-23,3048.061281337047
2019-11-24,3048.061281337047
2019-11-25,24633.09670781893
2019-11-26,5734.71506849315
2019-11-27,18266.35
2019-11-28,14070.242105263158
2019-11-29,1511.2641509433963
2019-11-30,11782.503472222223
2019-12-01,175378.31818181815
2019-12-02,29405.440111420612
2019-12-03,114460.84107142857
2019-12-04,63589.94233937397
2019-12-05,190271.08052434458
2019-12-06,114460.84107142857
2019-12-07,63589.94233937397
2019-12-08,63589.94233937397
2019-12-09,86981.02526315789
2019-12-10,86981.02526315789
2019-12-11,63589.94233937397
2019-12-12,190271.08052434458
2019-12-13,190271.08052434458
2019-12-14,29405.440111420612
2019-12-15,63589.94233937397
2019-12-16,63589.94233937397
2019-12-17,190271.08052434458
2019-12-18,146914.73377703826
2019-12-19,29405.440111420612
2019-12-20,29405.440111420612
2019-12-21,190271.08052434458
2019-12-22,190271.08052434458
2019-12-23,190271.08052434458
2019-12-24,190271.08052434458
2019-12-25,114460.84107142857
2019-12-26,29405.440111420612
2019-12-27,190271.08052434458
2019-12-28,114460.84107142857
2019-12-29,190271.08052434458
2019-12-30,86981.02526315789
2019-12-31,114460.84107142857
2020-01-01,190271.08052434458
2020-01-02,146914.73377703826
2020-01-03,190271.08052434458
2020-01-04,63589.94233937397
2020-01-05,63589.94233937397
2020-01-06,46456.4126984127
2020-01-07,114460.84107142857
2020-01-08,86981.02526315789
2020-01-09,146914.73377703826
2020-01-10,29405.440111420612
2020-01-11,146914.73377703826
2020-01-12,146914.73377703826
2020-01-13,190271.08052434458
2020-01-14,190271.08052434458
2020-01-15,190271.08052434458
2020-01-16,146914.73377703826
2020-01-17,146914.73377703826
2020-01-18,146914.73377703826
2020-01-19,146914.73377703826
2020-01-20,146914.73377703826
2020-01-21,86981.02526315789
2020-01-22,190271.08052434458
2020-01-23,146914.73377703826
2020-01-24,146914.73377703826
2020-01-25,86981.02526315789
2020-01-26,86981.02526315789
2020-01-27,146914.73377703826
2020-01-28,146914.73377703826
2020-01-29,46456.4126984127
2020-01-30,190271.08052434458
2020-01-31,86981.02526315789
2020-02-01,114460.84107142857
2020-02-02,29405.440111420612
2020-02-03,114460.84107142857
2020-02-04,63589.94233937397
2020-02-05,146914.73377703826
2020-02-06,46456.4126984127
2020-02-07,29405.440111420612
2020-02-08,46456.4126984127
2020-02-09,190271.08052434458
2020-02-10,29405.440111420612
2020-02-11,190271.08052434458
2020-02-12,63589.94233937397
2020-02-13,146914.73377703826
2020-02-14,114460.84107142857
2020-02-15,190271.08052434458
2020-02-16,114460.84107142857
2020-02-17,146914.73377703826
2020-02-18,86981.02526315789
2020-02-19,146914.73377703826
2020-02-20,190271.08052434458
2020-02-21,190271.08052434458
2020-02-22,29405.440111420612
2020-02-23,63589.94233937397
2020-02-24,29405.440111420612
2020-02-25,146914.73377703826
2020-02-26,146914.73377703826
2020-02-27,29405.440111420612
2020-02-28,114460.84107142857
2020-02-29,146914.73377703826
2020-03-01,190271.08052434458
2020-03-02,86981.02526315789
2020-03-03,190271.08052434458
2020-03-04,46456.4126984127
2020-03-05,29405.440111420612
2020-03-06,190271.08052434458
2020-03-07,190271.08052434458
2020-03-08,29405.440111420612
2020-03-09,190271.08052434458
2020-03-10,86981.02526315789
2020-03-11,146914.73377703826
2020-03-12,146914.73377703826
2020-03-13,29405.440111420612
2020-03-14,114460.84107142857
2020-03-15,190271.08052434458
